"titelen","SDGs","lernergebnisseenUNDlerninhalteen"
"Vehicular Networking and Cooperative Driving","4, 9, 11","The main objective of this module is to improve the technical knowledge in the area of vehicular networks, and in particular, students will gain a deeper understanding of specific technologies, protocols, and architectures. Students will have the opportunity to broaden their knowledge of specific communication technologies (in-car bus systems like CAN, FlexRay, Ethernet; as well as inter-vehicle communication system like DSRC, C-V2X, etc.). This course will also provide a possibility to improve the knowledge of application requirements looking at heard real-time communication for safety applications and scalability issues for cooperative awareness. Additionally, during the labs, students will have the opportunity to study selected technologies or technology-oriented problems in hands-on exercises. Product innovation of the modern automotive industry is increasingly relying on electronics and communication systems. Young professionals are expected to have specialized knowledge in the fields of electronics, software, and network technologies. This course teaches important concepts from these domains, covering in-car bus systems (electronic control units, modern bus systems, safety requirements), vehicle-to-everything communication (communication technologies, network architectures, privacy and security), as well as cooperative driving solutions (advanced driver assistance systems, platooning, interaction with vulnerable road users)."
"Power System Analysis","7, 9, 11","Upon successful completion of this module, students have gained the fundamental competence to understand and to analyze power systems as well as to have a good understanding of the challenges ot the Energiewende.  This module covers the basics of electrical power grids, power components and their behaviour in energy networks both theoretically and by practice. Topics cover generation, transmission and distribution of electrical energy, network operation, sizing of components, unsymmetrical networks, neutral point connection, dynamic network control and renewable energy challenges. The accompanying laboratory sessions foster understanding of power flow and transient calculation in energy networks.   "
"Network Architectures - Master Project (small)","4, 9","After successful completion of the project the students are capable of solving small tasks on their own. This includes background research, documentation and management of the project. A project consists of 3 phases: (a) become acquainted with the topic, (b) design a solution and (c) implement and evaluate the solution. The thesis describes all these phases and highlights the challenges. A short presentation concludes the project and points out the results.  Projects will be individually adjusted to the necessities of the students, are offered in the context of the project „Network Architectures”, and can be done in a group or alone."
"Optical Communications Technology","4, 9, 7","The module will provide students with knowledge and understanding of communication systems based on optical fibres with emphasis to the physics of fibre optics. The students become acquainted with the basic problems and are able to design a communication link for given conditions. In addition, they are able to compare different technologies for the realization of transmitters and receivers and to choose the proper one for the application in question. An increase in bandwidth is necessary to cope with the growing requirements of the internet. Due to the availability in the very high bandwidth, the optical fiber is the ideal transmission medium for the highest amounts of information. Therefore, there is also today's telecommunication networks are almost exclusively built from optical fiber transmission systems. In the course the required fundamentals of optical communications will be taught. Lectures on photonic communication networks based on the fundamentals of optical communication in network elements (e.g. regenerators, multiplexers, cross-connects), network segments (core-, access- and customer networks) and basic network hierarchies such as PDH and SDH. Issues of network operation and management will also be discussed. In the ONT seminar, students will have the opportunity to research a topic of optical communications and to present this in a lecture. In semiconductor technology for the integration of optoelectronics, the manufacturing process are treated for the integration of optoelectronic components in common semiconductor technologies. This ranges from the epitaxial deposition and etching techniques on to diverse conception and optimization methods for the realization of components (transistors, lasers, optical waveguides). The course High Speed Optical Transmission Systems deals with high bit rate optical transmission from the system point of view. It introduces basic concepts for high bit rate optical transmission, and considers limiting effects of specific systems. The lecture Silicon Photonics provides an introduction to the highly topical field of silicon-based photonics. The basics to understanding the current research are taught. The course is full of examples to make the current trends clear."
"Parameterized Algorithmics","4, 9","On successful completion, students will be able to:   - apply the approach of parameterized complexity analysis to solve computationally hard (NP-hard) problems  - design and analyze parameterized algorithms  - identify practically relevant and tractable special cases of problems that are computationally hard in general   - use complexity-theoretic methods to determine the limits of parameterized algorithmics Particular topics include:  - algorithms for exactly solving NP-hard optimization problems by exploiting important problem parameters such as solution size or special structures in the input  - NP-hard computational problems on graphs and networks and on strings  - algorithmic techniques such as preprocessing by data reduction, depth-bounded search trees, color coding, iterative compression, tree decomposition of graphs, parameterized reductions"
"Photogrammetric Computer Vision","4, 9","The course deals with mathematic-physical modelling of a sensor by using the photographic camera as example. The modelling is completely expressed by algebraic projective geometry. Not only studying object reconstruction using image data of a multifaceted sensor, but and first of all the complete modelling of technically relevant issues in a homogeneous mathematical framework is important in this course. This framework is also used for 3D-computer graphics. Interdisciplinary application of the contents are demonstrated using various illustrative examples from e.g. manufacturing industries to geography, medicine and social sciences. Geometric basics of sensor orientation and object reconstruction: homogeneous coordinates, projectivity and perspective, modelling of image formation, inner and outer orientation, orientation of uncalibrated and calibrated cameras, spatial resection, least-squares adjustment, orientation of the image pair, relative and absolute orientation, spatial triangulation, multi-view geometry, bundle block adjustment, image digitalisation, radiometric basics."
"Photonic Communication Networks and Components","4, 9, 7","The module will provide students with an understanding of photonic technology for communication networks and components. The module allows the students to learn about different topics related to optical communication technology. This module is an extension of the course Optical Communication Systems and includes the following content:   Lectures on photonic communication networks based on the fundamentals of optical communication in network elements (e.g. regenerators, multiplexers, cross-connects), network segments (core-, access- and customer networks) and basic network hierarchies such as PDH and SDH. Issues of network operation and management will also be discussed. In the tutorial, arithmetical calculations related to optical communications are demonstrated. It can be proved only in combination with the laboratory that gives students the opportunity to work with modern software to simulate optical transmission systems and understand important relationships based on various laboratory experiments in the field of optical transmission systems in small groups. In the ONT seminar, students will have the opportunity to research a topic of optical communications and to present this in a lecture. In semiconductor technology for the integration of optoelectronics, the manufacturing process are treated for the integration of optoelectronic components in common semiconductor technologies. This ranges from the epitaxial deposition and etching techniques on to diverse conception and optimization methods for the realization of components (transistors, lasers, optical waveguides). The course High Speed Optical Transmission Systems deals with high bit rate optical transmission from the system point of view. It introduces basic concepts for high bit rate optical transmission, and considers limiting effects of specific systems. The lecture Silicon Photonics provides an introduction to the highly topical field of silicon-based photonics. The basics to understanding the current research are taught. The course is full of examples to make the current trends clear."
"Photonic Components","4, 9, 7","The students have knowledge about the basics of photonic components. Furthermore they learned about other topics related to optical communication systems. The module is an extension to the module Optical Communcation Systems"" and ""Photonic Communication Networks and Components"".  In the tutorial arithmetical calculations related to optical communications are demonstrated. It can be selected only in combination with the laboratory that gives students the opportunity to work with modern software to simulate optical transmission systems and understand important relationships based on various laboratory experiments in the field of optical transmission systems in small groups. In the ONT seminar, students will have the opportunity to research a topic of optical communications and to present this in a lecture.  In semiconductor technology for the integration of optoelectronics, the manufacturing process are treated for the integration of optoelectronic components in common semiconductor technologies. This ranges from the epitaxial deposition and etching techniques on to diverse conception and optimization methods for the realization of components (transistors, lasers, optical waveguides).  The course High Speed Optical Transmission Systems deals with high bit rate optical transmission from the system point of view. It introduces basic concepts for high bit rate optical transmission, and considers limiting effects of specific systems.  The lecture Silicon Photonics provides an introduction to the highly topical field of silicon-based photonics. The basics to understanding the current research are taught. The course is full of examples to make the current trends clear."""
"Photovoltaics","7, 9, 11","Participants will have in-depth knowledge of production of renewable energy by photovoltaic systems. They have an understanding of the fundamental, physical working principle fo solar cells und are able to analyse the performance as well as develop strategies to optimize solar cells. They know the basic processes used for the production of solar cells, can describe different cell layouts and judge their mode of operation. Upon completion of the module the participants have the basic knowledge to be engaged in photovoltaic energy conversion both in science and practical environments. The compulsory part of the module imparts a basic physical understanding of solar cells and modules. Topics are the fundamental physical processes involved in photovoltaic energy conversion, general considerations regarding the efficiency of photovoltaic systems, classical and modern solar cell concepts and their production. The elective part offers the possibility to deepen knowledge in special fields, for instance physics of solar cells, analysis of photovoltaic materials and systems as well as production of solar cells."
"Smart Grids for Multi-Energy Distribution","7, 9, 11","The aim of the module is to deepen the knowledge on planning, operation and security of multi-energy smart grids. After successful completion of the module, students will have an in-depth understanding of planning and security of smart distribution networks and will have gained insight into current research areas. Due to the rapid increase in renewable generation, electrical grids are facing new challenges and have to be planned with consideration. This module focuses on distribution networks and how load and generation from mainly renewable sources are kept in balance. Grid-wise integration of energy storage technologies will be addressed as well as current topics in the research area of smart grids, e.g. the contribution of electric vehicles. Finally, security issues are taken into account and how the control of smart grids has to be implemented successfully. Students will have the opportunity to actively participate in the project part of the module by giving a short presentation and handing in a final report."
"Machine Learning Lab Course","4, 9","Students are able to implement and apply the core machine learning algorithms and analyze their performance on appropriate toy datasets. They further have a broad overview of current methods, their applications and limits. Treated are well known algorithms for dimensionality reduction, visualization, clustering, regression, and classification (incl. model selection)."
"Applied Programming and Computer Architecture","4, 9","Students taking this module will be equipped with general understanding about computer systems (hardware, operating system), are able to use the UNIX shell and can apply a programming language (choice of Java or C) to solve problems. After finishing this course, students are able to: 1) work with a pc and its tools 2) write short programs 3) correctly apply basic programming language concepts. 1) Representation of information in the pc (bits and bytes, binary numbers, encoding of characters and numbers in digital computers) 2) Logic curcuits (logic functions, logic gates, flip-flop, adders, ALU, multiplexers) 3) Computer architecture (components, cpu, memory, assembler, peripheral devices) 4) UNIX operating system (architecture, file system, process system, shell, some tools) And then one of: C  (Overview and structured programming, scalar data types, operators and expressions, control flow, preprocessor, arrays and pointer, structures, functions, I/O) Or Java  (Overview and structured programming, basic data types, operators and expressions, control flow, object oriented programming, classes, constructors, variables, methods, encapsulation, interfaces, inheritance)"
"Programming II for Information Systems","4, 9","By successfully completing this module, the participants have advanced knowledge of the principles and paradigms of functional programming and are able to distinguish between object-oriented and functional programming. Furthermore, the participants have advanced knowledge of concurrent and parallel programming. They have practical experience with the functional programming language Scala and are able to use it for independent issue solutions as well as target special problems for information systems (e.g. Business Intelligence). The module is structured as follows: - Principles of functional programming - Differences of object-oriented and functional programming - Basics of Scala - Interoperability between Java and Scala - Concurrency and parallelism in Java and Scala - Closures, Traits, Exceptions - advanced concepts of Scala - Message-Passing-Concurrency with Akka"
"Programming Practical","4, 9","The learning outcomes of the programming practical are: - learn to organize the development of software in groups - learn to create specification documents, - work in groups and to be responsible for certain aspects like software quality, project/configuration management, etc. - work with project management tools, - present developed results and developement process - organisation of projects - object orientated programming (oop) - software patterns in oop - specification of requirements - subdevide software into components/modules - model software using UML - quality assurance in software developement Several departments offer a programming practical module. Thus, the specific contents of this modul depend on the programming practical visited. In the end of the semester, a final presentation of the results of all practical courses is performed."
"Project Advanced Network Technologies","4, 9","Students gain practical experience in dealing with modern communication systems, their design, evaluation and implementation. The focus is put primarily on modern systems of wireless mobile communications, as well as Internet protocols and applications. Skills obtained in this module will enable students to design, implement and evaluate modern communication systems. Thanks to working in small teams, graduates also develop project management and team working skills. This module solely consists of a project. The aim of the project is to work in small teams and obtain solution of a major task. The work needs to be planned and realized autonomously and in a systematic manner, with limited guidance from the supervisor. The project topics change every semester and are related directly to the current scientific work of the research group. Possible topics include: - Indoor Localisation - Cognitive Radio - Wireless LAN - Sensor- and Body-Area Networks - Spontaneous Communication - Cyberphysical Systems - Simulation of computer networks  Topics are not limited to the list given above and students may, upon agreement with the supervisor, propose the subject of their own choice."
"DCAITI: Project advanced connected and automated driving","4, 9","Students test applications and technologies for communications, media and service platforms in vehicles, on mobile phones or televisions and gain a significant degree of practical experience. In this module students will work on a project. A software or hardware component will be specified, implemented, tested and documented . The topics vary from term to term. The project is supported - depending on the issue - by guest lecturers from industry and commerce and so can provide a strong link to industry research."
"Project on Electrical Drives","4, 9","Students will be able to apply analytical calculation methods and field simulations to the design of electrical machines. Using a concrete application as an example, an electrical machine is designed by the students. Analytical calculation methods and field simulations based on the finite element method are used for this purpose. Subsequently, the machine is optimized with regard to defined criteria (e.g. torque density and costs)."
"Project Electric Power Systems and Renewable Energy","7, 9, 11","Students attending this module learn to perform project work on an up-to-date topic in electrical power and energy systems. They have gained technical competence, project management and teamworking skills. Documentation and demonstration of their results along with a presentation in front of an audience complements the project working skills.  In this project work on the topic electric energy networks and integration of renewable energy sources, the students perform analysis, modeling and/or simulation tasks. Planning and operation as well as actual research topics are part of the project. "
"Applied Network Technologies","4, 9","Students coursing this module will acquire hands-on experience in dealing with modern communication systems, their design, evaluation and implementation. The focus is put primarily on modern systems of wireless mobile communications, as well as Internet protocols and applications. Last but not least, working in small teams, graduates will develop project management and team working skills. This module solely consists of a project. The aim of the project is to work in small teams and obtain solution of a major task. The work needs to be planned and realized autonomously and in a systematic manner, with limited guidance from the supervisor. The project topics change every semester and are related directly to the current scientific work of the research group. Possible topics include: - Indoor Localization - Cognitive Radio - Wireless LAN - Sensor- and Body-Area Networks - Spontaneous Communication - Cyberphysical Systems - Simulation of computer networks Topics are not limited to the list given above and students may, upon agreement with the supervisor, propose the subject of their own choice. The projects, as well as the full project description can be found on the website: http://www.tkn.tu-berlin.de/menue/tknteaching/student_projects/parameter/de/"
"Machine Learning Project","4, 9","The students have knowledge about and practical experience in independent application of machine learning methods to a real world dataset in a specific application scenario. This particularly includes pre-processing of real world data, calibration of prediction methods, and the comparison of different approaches. The students are also able to apply machine learning methods to other real world datasets, as well as estimating the extent, complexity, and chance of success of such a project from a practical point of view. The project's goal is the development of a prediction process (regression/classification) for a real world application, based on a open-source machine learning toolbox. A real world dataset in raw format is given. The project is subdivided into three milestones that are based on another. 1. Extraction of feature vectors from raw data; univariate and multivariate evaluation of these features. 2. Evaluation and comparison of different prediction methods; development of appropriate assessment approaches and quality criterions. 3. Justified selection and final assessment of a specific prediction method. Compared to the Lab Course this module does not focus on implementation of machine learning methods, but the data pre-processing as well as application, evaluation, and selection of methods from existing toolboxes."
"Project Neural Information Processing","4, 9","After successful completion, participants are able to apply machine learning techniques to problems from the field of neural information processing in a self-guided way and present their results to other students.  Required skills include: literature research, formulation and refinement of a relevant research question, planning and execution, and assessment of a scientific research project, presentation and discussion of results (poster + project report). participants can choose to work on topics from one of the two fields:  * modeling and analysis of neural data * implementation and application of machine learning techniques with a focus on pattern recognition and reinforcement learning"
"Project-Oriented Practical Course","4, 9","The students have the following skills: • Analytical and methodical skills as well as methods for autonomous planing, organization, and documentation of projects. • Fundamental knowledge of electronic and digital basic circuits. • Synthesis between learned component theory and practical application. • Applying the studied theory to analog and digital circuits, including circuit design, setup, analysis and simulation. • Hands-on experience with analog and digital circuits as well as the necessary measurement equipment. • Fundamentals of scientific documentation of their own work. • Presentation of their own work. • Teamwork. • Awareness of the necessity of independent study and acting responsibly. • Methodical knowledge inf form of planing and organizing projects (timetables, milestones, dividing the task in work packets, interfaces). • Technical knowledge in form of project-referenced reports or student workshops. • Fundamental practical skills needed to realize and use an electronic analog/digital circuit (including circuit design, analysis, setup and test). • Documentation and presentation of one's own work (logs, final presentations, final reports, handouts). • Elaboration of basic knowledge with computer-aided circuit- and component simulation, and documentation thereof. • Simulated observation of various components at different voltages and environmental influences. • Composing and digitizing a circuit layout under formal constraints. • Solving issues as a team. If available: • Department-overreaching insights into research and industry by visiting institutes/businesses. • Imparting extra knowledge through workshops and theme-evenings. The course also deals with the topics of societal responsibility and sustainability, e.g. technology assessment, most notably: - problem and practical relevance - future relevance and reflexivity - normativity and sustainability - inter- and transdisciplinarity"
"Symbolic Artificial Intelligence Project","4, 9","Students having successfully attended this module... - have a deeper understanding of applied artificial intelligence techniques, their practical relevance, and limitations - know how to build and to evaluate a rather complex software system,  - have practical experiences in implementing and applying methods from artificial intelligence - have improved team skills and project management capabilities - have experienced strengths and weaknesses of different AI methods in different contexts designing, implementing, and evaluating a software to solve complex task with techniques from (mostly symbolic) artificial intelligence.  teamwork practice"
"Quality & Usability","4, 9","Students gain - Understanding of “Usability” as inter-disciplinary research and application area in the development of information and communication technologies - Fundamental knowledge of multimodal human-computer interaction - Knowledge of the implementation of human-computer interfaces - Knowledge of methods for measuring quality and usability - Presentation of knowledge to an audience Current topics in the research area of quality and usability will be discussed and applied to practical problems."
"Quality Assurance of Embedded Systems","9","Graduates of this module are able to master methods and techniques with which the quality of embedded systems can be systematically ensured, in particular fault-tolerance, computer-aided verification and test automation techniques. They have knowledge about existing techniques and know how to apply them. Embedded systems are often safety-critical, for example if they are used in cars, airplanes or avionics. This means that errors can lead to high financial losses or even death or serious injuries. This makes the quality of such systems a major issue and systematic and comprehensive quality assurance techniques are indispensable. In this course, we consider quality assurance for embedded systems ranging from validation and testing over computer-aided verification to system verification and HW/SW co-verification. As a formal foundation, the course introduces formal specification techniques like Timed Automata, and temporal logics. Using this formal foundation, the main focus of the course is on analytical quality assurance, i.e., computer-aided verification via model checking and automated testing (coverage-driven input selection, automated test pattern generation, conformance testing ...). Additionally, we consider runtime monitoring and adaptation techniques for fault-tolerance."
"Usability Engineering in Information and Communication Technologies","4, 9","The students gain: - Comprehension of  „Usability“ as interdisciplinary research and application field at the development of Information and Communication Technologies. - Basic knowledge of the processes of human perception and judgement that are a crucial factor for the quality and usability of information and communication technologies. - Basic knowledge of multimodal human-machine interaction. - Knowledge of methods for measuring quality and usability. - Competence in the presentation of the learned knowledge to others The students know: - how to apply this knowledge in the design cycle of technical systems - how to apply the learned methods for the judgement of quality and usability of selected technical systems.  IV „Usability Engineering“: Terms of quality, usability and human engineering; Psychophysics and psychometrics basics; Measurement and prediction of quality; Scaling; Quality units and characteristics; Usability Engineering Lifecycle; Usability heuristics; Usability tests; Usability evaluation methods; Quality of graphical interfaces; Quality of transmission systems; Quality of interactive systems; Quality prediction models; Standards "
"Current trends in graph theory and combinatorics","4","Students will have gained a broader overview of recent results and developments in graph theory/combinatorics. This seminar covers recent developments and results in graph theory or combinatorics/discrete maths. Students can choose among a selection of papers and then present the background, main result and proof ideas of their chosen topic in an oral presentation."
"Randomized Algorithmics","4, 9","Participants of this module know fundamental randomized methods for design and analysis of efficient algorithms. They can perform simple probabilistic analyses and are aware of the limitations of randomization. Introduction into the mathematical and algorithmic foundations of algorithm design and analysis using the resource random bits"". Particular topics are: - randomized algorithms for graph problems and geometric problems - the probabilistic method - randomized complexity classes"""
"Recent Advances in Computer Architecture","4, 9","After completion participants will have acquired the necessary knowledge and skills to read, discuss, understand, present, and summarize original research in the field of computer architecture and follow original research talks. They are able to provide feedback on each other’s work and to formulate research questions. They are further able to write a review paper about recent developments in computer architecture.  In this seminar we will study the proceedings of top computer architecture conferences (for example, Int. Symp. On Computer Architecture (ISCA) and the Int. Symp. On Microarchitecture (MICRO)) and journals, make a selection of the papers, and present and discuss these papers in class. We will also write a review paper about the related papers."
"Computer Networks and Distributed Systems","4, 9","The students understand the principles behind the layered architecture of network protocols. They are able to describe the offered services of the OSI layers. Furthermore, they comprehend the basic functionality of the most relevant protocols of the Internet (i.a. Ethernet, IP, DNS, TCP, UDP). Moreover, the students are able to outline the advantages of a distributed system architecture as well as the problems which arise from such an architecture (i.a time synchronization, consensus, atomicity of transactions) and they can describe basic algorithms to solve said problems. The practical part enables the students to develop basic network applications using the Berkeley socket API in the C programming language, which allows them to put the learned algorithms into practice in an independent manner. * Principles of distributed systems  * Inter-process communication paradigms (including sockets and complex interaction models)  * Local Area Networks (LAN) examples: Ethernet and Wi-Fi  * Principles of Internet protocol stack: TCP, UDP/RTP, IP  * Networking mechanisms: switching, error control, routing  * Structuring access to services (client-server, peer-to-peer)  * Middleware  * Web Services  * Fundamental issues in distributed systems: time synchronization, consensus, transactions"
"Control (fundamentals)","4, 9","The students obtain an overview of fundamental control engineering methods for modelling, analysis and design of control loops. By attending the tutorials and implementing application examples in the accompanying lab course, the participants learn to solve practical assignments with adequate software tools autonomously upon completion of the module. Recap on signals and systems, system modelling in the time and frequency domain, stability, quantitative control loop properties, constraints on achievable control loop properties, robustness, controller design with frequency response methods, root locus method, algebraic controller design, control loops with time delay"
"Renewable Energy for Sustainable Electric Networks","7, 9, 11","Upon successful completion of the module Renewable Energy for Sustainable Electric Networks participants will have engineering competence on grid integration of renewable energy and the sustainable energy systems and controls involved. The focus is on the behavior of renewable energy sources in the grid during normal operation and in case of a fault. This will help students to design efficient and grid-compatible solutions for the integration of renewable energy sources. The module further gives a comprehensive insight into renewable energy technology, which is of great importance to the understanding of grid integration.  In the course Renewable Energy Integration in Electric Networks"" (REI) the learning will be supported by a model-based approach. Models of renewable energy systems in the grid will be developed step by step. This includes the conversion stages from the source to the grid. Different types of system dynamics are considered. Control systems are designed. Smart grid topics such as virtual power plants and microgrids are discussed.  The course ""Renewable Energy Technology in Electric Networks"" (RET) covers the topic of renewable resources, including wind, sun, tides and biomass as well as their significance for energy supply. The learning will be supported by a model-based approach. At the beginning, the focus lies on a photovoltaic plant. The modeling comprises irradiation and maximum-power-point-tracking. Furthermore, the modeling of wind energy conversion systems is considered. Other topics include battery application, fuel cells, and tidal energy."""
"Renewable Energy Integration in Electric Networks","7, 9, 11","Upon successful completion of the module Renewable Energy Integration in Electric Networks, participants will have important engineering competence on grid integration of renewable energy. The focus is on dynamic behavior of renewable energy sources in the grid during normal operation and in case of a fault. This will help students to design efficient and grid-compatible solutions for the integration of renewable energy.  The content is developed through a model-based approach. Models for renewable energy systems in the grid will be developed step by step. This includes the conversion stages from the source to the grid. Different types of system dynamics are considered. Control systems are designed. Smart grid topics such as virtual power plants and microgrids are discussed."
"Renewable Energy Technology in Electric Networks","7, 9, 11","Upon successful completion of the module Renewable Energy Technology in Electric Networks, participants will have comprehensive knowledge of relevant technologies and systems of renewable energy sources and storage. Students will get to know the modeling and control of renewable energy technology, which is of great importance for the understanding of grid integration. The course Renewable Energy Technology in Electric Networks"" covers the topic of renewable resources, including wind, sun, tides and biomass as well as their significance for energy supply. The learning will be supported by a model-based approach. At the beginning, the focus lies on the control of a photovoltaic plant. The modeling comprises irradiation and maximum-power-point-tracking. Furthermore, the modeling of wind energy conversion systems is considered. Other topics include battery application, fuel cells, and tidal energy."""
"Research Colloquium on Algorithms and Complexity","4, 9","Participants of this module have learned how to critically read and evaluate scientific papers. They are able to work independently to gain an understanding of current research results and the methods and proofs behind. They can communicate the central ideas behind and discuss the value of the presented findings. They know about the key features of good oral presentations. In this seminar recent research of our group and special invited guests is presented. The main topics arise from algorithms, complexity, and corresponding applications. The seminar is an excellent opportunity for advanced students to get in touch with current topics in our research field, or to present their own results in this context."
"Robotics","4, 9","After completing the module, the students will have knowledge of the problems and practical solutions to controlling multi-joint robot systems. They will also have acquired methods to abstract and simplify complex, non-linear problems in the realm of action, perception, and representation, which are the basis for cognitive and intelligent robots. Concepts, algorithms and application-specific aspects of Robotics: - Kinematics, dynamics, position control, trajectory generation, controller tuning, collision avoidance, visual servoing, probabilistic robotics, Simultaneous Localization and Mapping (SLAM). - Practical implementation on a real time control system."
"Robotics: Advanced","4, 9","Students will gain a deeper understanding of problems and methods in robotics (in the context of embodied intelligence).  After completing the course, students will be able to critically assess and use established concepts and methods as well as novel ones.  Methods, algorithms, and limits of state of the art solutions in grasping, collision avoidance, force control, integrated planning and control, visual perception, representations of space and machine learning."
"Robotics I+II","4, 9","After completing the module, the students have knowledge of problems and practical solutions to controlling multi-joint robot systems. They also have acquired methods to abstract and simplify complex, non-linear problems in the realm of action, perception, and representation, which are the basis for cognitive and intelligent robots. Students will also have gained a deeper understanding of problems and methods in robotics (in the context of embodied intelligence).  After completing the course, students will be able to critically assess and use established concepts and methods as well as novel ones. Robotics I + II is composed of the two courses Robotics"" and ""Robotics: Advanced"" with the following content. Concepts, algorithms and application specific aspects of Robotics: kinematics, dynamics, position control, trajectory generation, controller tuning, collision avoidance, visual servoing, probabilistic robotics Simultaneous Localization and Mapping (SLAM). Practical implementation on a real time control system. Methods, algorithms, and limits of state of the art solutions in grasping, collision avoidance, force control, integrated planning and control, visual perception, representations of space, and machine learning."""
"Robotics: Project","4, 9","After attending the module, students possess in-depth knowledge of specific topics in ongoing, state-of-the-art robotics research. Students gain both theoretical knowledge and practical experience, and, where appropriate, conduct real-robot experiments to develop and validate their research ideas. They know how to organize, track and adapt a project to resource constraints. They know how to work independently towards a project objective while balancing scientific and practical objectives.  Students possess skills in project planning, giving project presentations, discussing project ideas in a team, writing scientific reports, and documenting source code for use by others. Varying topics from robotics and related fields of research, e.g., machine learning, perception, motion planning, manipulation, control, and hardware design. Project topics are tightly coupled with the department's ongoing research activities. Therefore, we encourage prospective students to visit the department's website to learn about possible project topics: https://www.robotics.tu-berlin.de/menue/research/"
"Circuit Analysis and Design","4, 9","The students are able to model and analytically describe all important basic electrical circuits and their behavior on the basis of their already acquired component knowledge, as well as to evaluate more complex circuits which are composed of these basic circuits. In particular, they may apply these capabilities to analog amplifier circuits, simple op-amp circuits, logic gates, and smaller logic circuits. Basic circuit principles, basic circuits and design methodology of analog and digital circuits at component level. Discrete and integrated circuits, components and their modeling, scope and limits of analytical models, characteristics of real components, basic circuit configurations, small signal parameters, small signal equivalent circuit diagram. MOS switches, transfer gate, MOS current sources and current mirrors, simple MOS amplifier circuits, source followers, MOS differential stages, selected bipolar primitives, operational amplifiers, ideal OPAMP, OPAMP circuits and other basic circuits (differential amplifiers, instrumentation amplifiers), comparator circuits, simple OPAMP filter circuits, internal structure of OPAMPs at the transistor level (MOS and Bipolar). Basic digital circuits, logic functions, static CMOS logic."
"Data Science Project","4, 9","Graduates of the module have gained practical experience in dealing with complex data science problems. They are able to formulate scientific questions and systematically validate them using empirical evaluations on datasets. Graduates can formulate and present the results of the examination according to scientific standards. They are able to pursue independent research approaches and to criticize foreign scientific texts. In this course, a data science problem from a scientific or industrial domain is treated in a practice-oriented manner. The aim of the project is to formulate and validate a scientific question. For this purpose, own approaches to solving the problem are developed and implemented. The approach and the results of the validation are documented in a scientific report and presented in a presentation. Students deal in particular with the following topics: - Machine Learning - Feature Extraction - Deep Learning - Data Preprocessing - Model Evaluation - Machine Learning Libraries - Scientific Writing"
"Seminar Measurement and Technical Diagnosis","4, 9","Students are able to do a literature research, to summarize the results scientifically, to present and to defend their work. Results of new research on the field of measurement and diagnostic technology, modeling and simulation are recited in presentations and papers. The main focus lies on vehicle and engine development."
"Seminar Software and Embedded Systems Engineering","4, 9","Graduates of this module are able to understand current research papers in the field of embedded systems, software engineering, verification and/or testing and to present their results. Current research papers in the field of embedded systems, software engineering, verification and/or testing. Specific topics change every semester depending on latest news in the field."
"Signals and Systems","4, 9","Students know the mathematical fundamentals for the representation of signals and the calculation of system performance, which are necessary for systems of communications engineering and systems of electrical engineering. After a successful completion of the module students know the important theories and models and are able to evaluate these. They are able to use ambitious mathematical operations.  Continuous Signals and Systems: Continuous signals in the time domain, Fourier transformation, Laplace transformation, convolution, continuous LTI Systems in the time domain, pole-zero plot, system proberty Discrete Signals and Systems: sampling, quantisation, PCM, discrete signals in time and frequency domain, z-transformation, discrete linear systems, simple digital filter "
"Signal Processor Project","4, 9","The students learned practical skills developing a digital signal processing (DSP) system including software and peripheral hardware. Next to learning the theoretic fundamentals, they also gained experience in project management, teamwork, as well as systematically approaching problems and documentation. Groups of ca. eight students define themselves an individual project comprising the development of a system or device based on a DSP development board. The project is divided into work packages, where special attention is paid to the definition of interfaces. Circuit design and software development is done in teamwork. The results are documented in a report and presented together at the end of the semester."
