titelde,SDGs,lernergebnissedeUNDlerninhaltede
Photonische Komponenten,"7, 9, 11","Die Studierenden sind mit den Grundlagen von Netzstrukturen und Bauelementen vertraut. Zudem kennen sie ergaenzende Themen zur optischen Kommunikationstechnik.  Dieses Modul stellt eine Ergaenzung zum Modul Optische Kommunikationstechnik und „Photonische Kommunikationsnetze und Komponenten“ dar und behandelt folgende Inhalte: In der uebung werden Rechenaufgaben zur optischen Nachrichtentechnik behandelt. Sie kann nur in Kombination mit dem Praktikum belegt werden, welches den Studierenden die Gelegenheit gibt, mit moderner Software optische uebertragungssysteme zu simulieren und wichtige Zusammenhaenge anhand verschiedener Laborversuche aus dem Bereich optischer uebertragungstechnik in Kleingruppen nachzuvollziehen. Im ONT Seminar erhalten die Studierenden die Moeglichkeit, sich weitgehend selbststaendig in ein Thema der optischen Nachrichtentechnik einzuarbeiten und dies in einem Fachvortrag zu praesentieren. In Halbleitertechnologie fuer die Integration in der Optoelektronik werden Herstellungsverfahren zur Integration optoelektronischer Bauelemente in gaengige Halbleitertechnologien behandelt. Dies reicht von der Epitaxie ueber Depositions- und aetztechniken bis hin zu diversen Konzeptions- bzw. Optimie-rungsmethoden zur Realisierung von Bauelementen (Transistor, Laser, optische Wellenleiter). Die Veranstaltung High-Speed Optical Transmission Systems behandelt hochbitratige optische uebertragungsstrecken aus der Systemsicht heraus. Es werden grundlegende Konzepte fuer die hochbitratige uebertagungstechnik eingefuehrt und begrenzende Effekte in entsprechenden Systemen betrachtet. Die Vorlesung Silicon Photonics gibt eine Einfuehrung in das hochaktuelle Gebiet der siliziumbasierten Photonik. Vermittelt werden die Grundlagen zum Verstaendnis der aktuellen Forschung. Die Vorlesung ist reich an Beispielen, um die gegenwaertigen Trends deutlich zu machen. "
Photonische Komponenten,"7, 9, 11","Die Studierenden sind mit den Grundlagen von Netzstrukturen und Bauelementen vertraut. Sie sind in der Lage die Probleme optischer uebertragungsstecken zu analysieren, passende Loesungsansaetze auszuwaehlen und geeignete Komponenten einzusetzen. Dieses Modul stellt eine Ergaenzung zum Modul Optische Kommunikationstechnik und „Photonische Kommunikationsnetze und Komponenten“ dar und behandelt folgende Inhalte: Im ONT Seminar erhalten die Studierenden die Moeglichkeit, sich weitgehend selbststaendig in ein Thema der optischen Nachrichtentechnik einzuarbeiten und dies in einem Fachvortrag zu praesentieren. In Halbleitertechnologie fuer die Integration in der Optoelektronik werden Herstellungsverfahren zur Integration optoelektronischer Bauelemente in gaengige Halbleitertechnologien behandelt. Dies reicht von der Epitaxie ueber Depositions- und aetztechniken bis hin zu diversen Konzeptions- bzw. Optimie-rungsmethoden zur Realisierung von Bauelementen (Transistor, Laser, optische Wellenleiter). Die Veranstaltung High-Speed Optical Transmission Systems behandelt hochbitratige optische uebertragungsstrecken aus der Systemsicht heraus. Es werden grundlegende Konzepte fuer die hochbitratige uebertagungstechnik eingefuehrt und begrenzende Effekte in entsprechenden Systemen betrachtet. Die Vorlesung Silicon Photonics gibt eine Einfuehrung in das hochaktuelle Gebiet der siliziumbasierten Photonik. Vermittelt werden die Grundlagen zum Verstaendnis der aktuellen Forschung. Die Vorlesung ist reich an Beispielen, um die gegenwaertigen Trends deutlich zu machen."
Photovoltaik,"7, 9, 11, 13","Die Studierenden besitzen vertiefte Kenntnisse auf dem Gebiet der Erzeugung erneuerbarer Energie mit Hilfe photovoltaischer Systeme. Sie haben ein Verstaendnis fuer die grundlegende, physikalische Wirkungsweise von Solarzellen und sind in der Lage die Performance zu analysieren und Strategien zur Optimierung von Solarzellen zu entwickeln. Sie kennen die grundlegenden Verfahren zur Herstellung von Solarzellen und koennen verschiedene Aufbauten beschreiben sowie deren Wirkungsweise beurteilen. Nach Abschluss des Moduls haben die Studierenden die grundlegenden Kenntnisse um sich mit der photovoltaischen Energieerzeugung in Forschung und Praxis zu beschaeftigen. Im Pflichtteil des Moduls wird ein grundlegendes physikalisches Verstaendnis von Solarzellen bzw. Solarmodulen vermittelt. Themen sind die grundlegenden physikalischen Prozesse, die bei der photovoltaischen Energiewandlung im Halbleiter ablaufen, generelle ueberlegungen zum Wirkungsgrad photovoltaischer Systeme, klassische und moderne Solarzellenkonzepte sowie der Herstellungsprozess von Solarzellen. Die Wahlpflichtveranstaltungen bieten die Moeglichkeit zur Vertiefung der Kenntnisse, z.B. der grundlegenden physikalischen Prozesse, der Analyse photovoltaischer Materialien und Systeme oder der Herstellung von Solarzellen."
Smart Grids for Multi-Energy Distribution,"7, 9, 11, 13","Ziel des Moduls ist die Wissensvermittlung im Bereich Planung, Betrieb und Sicherheit von Smart Grids. Nach erfolgreichem Abschluss des Moduls sind die Studierenden in der Lage moderne Verteilungsnetze zu planen und sicherheitstechnisch zu bewerten. Ausserdem haben sie Einblick in aktuelle Forschungsthemen in diesem Bereich erhalten. Auf Grund des raschen Anstiegs erneuerbarer Erzeugung muessen sich elektrische Energieversorgungsnetze neuen Herausforderungen stellen und mit Bedacht geplant werden. Dieses Modul legt Fokus auf Verteilnetze und die Sicherstellung des Gleichgewichts zwischen Last und Erzeugung aus hauptsaechlich erneuerbaren Quellen. Die Netzintegration von Energiespeichertechnologien ist dabei ebenso Bestandteil, wie aktuelle Forschungsfragen im Bereich Smart Grid, zum Beispiel der Beitrag von Elektroautos. Ausserdem werden Sicherheitsaspekte betrachtet und wie Betrieb und Regelung von Smart Grids erfolgreich umgesetzt werden koennen. Die Studierenden erhalten die Moeglichkeit waehrend des Projekts das Modul aktiv mitzugestalten. Hierbei sollen sie eine kurze Praesentation halten und abschliessend einen Bericht einreichen."
Praktikum Maschinelles Lernen,"4, 9","Die Studierenden sind in der Lage, die zentralen Algorithmen des Maschinellen Lernens selbst zu implementieren, anzuwenden und ihre Leistung auf geeigneten kuenstlichen Datensaetzen zu analysieren. Ausserdem haben sie einen breiten ueberblick aktueller Verfahren, ihrer Anwendungsmoeglichkeiten und Grenzen.  Behandelt werden die bekanntesten Algorithmen zur Dimensionsreduktion bzw. Visualisierung, Clustering, Regression, und Klassifikation (inkl. Modellselektion)."
Praktisches Programmieren und Rechneraufbau,"4, 9","Absolventen des Moduls verfuegen ueber das Verstaendnis des Systems Rechner (Hardware, Betriebssystem), sind des praktischen Umgangs mit der UNIX-Shell befaehigt und koennen eine Programmiersprache (wahlweise Java oder C) anwenden.  Am Ende des Kurses sind die Studierenden in der Lage:  1) mit dem Rechner und seinen Werkzeugen umzugehen  2) einfache kurze Programme zu schreiben  3) die grundlegenden Sprachkonzepte korrekt zu verwenden. 1) Darstellung von Information im Rechner (Bits und Bytes, binaeres Zahlensystem, Darstellung von Zeichen und Zahlen im Rechner)  2) Logische Schaltungen (logische Funktionen, logische Gatter, Flip-Flop, Addierwerke und ALU, Multiplexer)  3) Rechneraufbau (Teile des Rechners, CPU, Hauptspeicher, Assembler, periphere Geraete)  4) UNIX-Betriebssystem (Aufbau, Dateisystem, Prozesssteuerung, UNIX-Shells, einige UNIX-Tools und Programme (Editor, Compiler, Debugger, ...))  Und dann wahlweise:  C (ueberblick und strukturiertes Programmieren, skalare Datentypen, Operatoren und Ausdruecke, Kontrollfluss, Praeprozessor, Arrays und Pointer, Speicherklassen, Strukturen, Funktionen, IO, Visualisierung von Ergebnissen)  Oder  Java (ueberblick und strukturiertes Programmieren, elementare Datentypen, Kontrollfluss, objektorientierte Programmierung, Klassen, Konstruktoren, Variablen, Methoden, Verkappung, Interface, Vererbung, Visualisierung von Ergebnissen)"
Programmieren II fuer Wirtschaftsinformatiker,"4, 9","Nach erfolgreichem Abschluss dieses Moduls haben die Teilnehmer fortgeschrittene Kenntnisse ueber die Prinzipien und Paradigmen funktionaler Programmierung und sind in der Lage, die Unterschiede zwischen objektorientierter und funktionaler Programmierung gegenueberzustellen. Darueber hinaus besitzen die Teilnehmer weiterfuehrende Kenntnisse zu Konzepten der Programmierung von Nebenlaeufigkeit und Parallelitaet. Sie haben praktische Erfahrung mit der funktionalen Programmiersprache Scala und koennen sie fuer das Loesen sowohl allgemeiner Fragestellungen als auch spezieller Probleme der Wirtschaftsinformatik (zum Beispiel aus dem Bereich Business Intelligence) selbstaendig anwenden. Das Modul gliedert sich wie folgt: - Prinzipien funktionaler Programmierung - Unterschiede objektorientierter und funktionaler Programmierung - Grundlagen von Scala - Interoperabilitaet zwischen Java und Scala - Nebenlaeufigkeit und Parallelitaet in Java und Scala - Closures, Traits, Exceptions - Fortgeschrittene Konzepte von Scala - Message-Passing-Concurrency mit Akka"
Programmierpraktikum,"4, 9","Die Studierenden koennen: - Lasten- und Pflichtenhefte fuer kleinere Softwareprojekte aufstellen, - In einem Entwicklerteam unterschiedliche Rollen zu uebernehmen, - Gemaess gegebener Spezifikation Softwaremodule und -komponenten zu entwerfen und zu implementieren, - Techniken der Projektorganisation erfolgreich anwenden, - Mit aktuellen Werkzeugen zur Softwareentwicklung umgehen, - Projektergebnisse nach innen und aussen praesentieren. - Projektorganisation - Objektorientierte Entwicklungsmethoden - Entwurfsmuster in der objektorientierten Programmierung - Anforderungsspezifikation - Komponenten und Modularisierung - Modellierung mittels UML - Qualitaetssicherung (z.B. Modul- und Integrationstests) Es werden verschiedene parallele Praktika unterschiedlicher Fachgebiete zur Auswahl angeboten. Am Ende des Semesters findet im Rahmen eines Abschlusskolloquiums eine Praesentation der Ergebnisse statt."
DCAITI: Projekt Vertiefung vernetztes und automatisiertes Fahren,"9, 11","Die Studierenden haben Anwendungen und Technologien fuer Kommunikations-, Medien- und Dienstplattformen in Fahrzeugen, auf Mobiletelefonen oder Fernsehgeraeten erprobt und dabei ein signifikantes Mass an praktischen Erfahungen gesammelt. In diesem Modul wird ein Projekt durchgefuehrt. Dafuer wird entlang eines vorgegebenen Themas eine Software- oder Hardwarekomponente spezifiziert, realisiert, getestet und dokumentiert. Die Themen variieren von Semester zu Semester. Das Projekt wird abhaengig vom Thema durch Gastdozenten aus Industrie und Wirtschaft unterstuetzt und kann so einen starken Bezug zur Industrieforschung vermitteln."
Projekt Elektrische Antriebe,"7, 9, 11","Die Studierenden koennen analytische Berechnungsmethoden und Feldsimulationen zum Entwurf elektrischer Maschinen anwenden. Am Beispiel eines konkreten Anwendungsfalls wird eine elektrische Maschine selbstaendig von den Studierenden entworfen. Dazu werden analytische Berechnungsverfahren und Feldsimulationen, basierend auf der Finite-Elemente-Methode, angewendet. Im Anschluss wird die Maschine hinsichtlich festgelegter Kriterien (z.B. Drehmomentdichte und Kosten) optimiert."
Projekt Energieversorgung mit erneuerbaren Energien,"7, 9, 11, 13","In diesem Modul lernen die Studierenden, ein Projekt mit aktuellen Themen aus dem Bereich der elektrischen Energieversorgung zu realisieren. Neben den fachlichen Qualifikationen werden sie zum Projektmanagement und zur Teamarbeit befaehigt und koennen Versuchsergebnisse adaequat dokumentieren und demonstrieren.  Im Rahmen eines konkreten Projekts beschaeftigen sich die Studierenden mit Energiesystemen mit besonderem Fokus auf die Integration erneuerbarer Energien im Bereich der Analyse, Modellierung undoder Simulation. Sowohl Planung als auch Betrieb und aktuelle Forschungsthemen finden Beruecksichtigung."
Angewandte Netzwerktechnologien,"9, 11","Die Studierenden erlangen praktische Erfahrung im Umgang mit modernen Kommunikationssystemen, deren Entwurf, Bewertung und Implementierung. Der Schwerpunkt liegt dabei vor allem auf modernen Systemen der drahtlosen Mobilkommunikation, sowie auf Internetprotokollen und Anwendungen. Die Studierenden sind in die Lage, Kommunikationssysteme zu konzipieren, programmieren und zu bewerten. Durch die Projektarbeit in Teams erlernen sie zusaetzlich Projektmanagement- und Sozial-Kompetenzen. Ziel des Projektes ist es, eine groessere Aufgabe selbstaendig und in systematischer Art und Weise in einem Team zu loesen, die Arbeit zu planen, zu dokumentieren und die Projektergebnisse zu praesentieren. Die Themen wechseln jedes Semester und sind direkt der aktuellen wissenschaftlichen Arbeit entnommen. Moegliche, aber nicht darauf beschraenkte, Aufgabengebiete sind: - Indoor Lokalisierung - Cognitive Radio - Wireless LAN - Sensor- und Body-Area Networks - Spontaneous Communication - Cyberphysical Systems - Simulation von Netzwerken Weiterhin besteht auch die Moeglichkeit eigene Projektvorschlaege einzureichen. Wenden Sie sich hierzu bitte an den oben genannten Ansprechpartner."
Projekt Maschinelles Lernen,"4, 9","Die Studierenden besitzen Kenntnisse und praktische Erfahrung im selbststaendigen Anwenden von Methoden des maschinellen Lernens auf einen realen Rohdatensatz in einem spezifischen Anwendungsszenario. Hierzu gehoert insbesondere die maschinelle Aufbereitung realer Daten in ein brauchbares Format, das Kalibrieren von Vorhersagemethoden, sowie der Vergleich unterschiedlicher Ansaetze. Die Studierenden sind faehig, auch auf anderen realen Daten Methoden des maschinellen  Lernens erfolgreich anzuwenden sowie den Umfang, die Komplexitaet und die Erfolgsaussichten eines solchen Projektes unter praktischen Gesichtspunkten abzuschaetzen. Ziel des Projektes ist, eine Vorhersageverfahren (RegressionKlassifikation) fuer eine reale Anwendung zu entwickeln, auf der Basis einer Open-Source Machine Learning toolbox. Dazu wird ein realer Datensatz in Rohdatenformat gegeben. Das Projekt ist in die folgenden drei aufeinander aufbauenden Meilensteine unterteilt. 1. Extraktion von vektoriellen Merkmalsvektoren aus den Rohdaten; univariate und multivariate Bewertung dieser Merkmale. 2. Evaluierung und Vergleich verschiedener Vorhersagemethodiken, Entwicklung geeigneter Bewertungsansaetze und Guetemasse. 3. Begruendete Auswahl und abschliessende Bewertung einer bestimmten Vorhersagemethodik. Im Unterschied zum Praktikum liegt der Schwerpunkt nicht auf der Implementierung von Machine Learning-Methoden, sondern auf Datenaufbereitung sowie Anwendung, Bewertung und Auswahl von Methoden aus existierenden Toolboxen."
Projekt Neuronale Informationsverarbeitung,"4, 9","Die Studierenden sind in der Lage, eine komplexere Fragestellung aus den Bereichen maschinelles Lernen oder neuronale Informationsverarbeitung selbststaendig zu bearbeiten und die Resultate anschliessend zu praesentieren. Die Faehigkeiten umfassen: Literaturarbeit, Praezisierung der vorgegebenen Fragestellung, Planung, Durchfuehrung und Bewertung der wissenschaftlichen Arbeit, adaequate Praesentation und Diskussion der erzielten Resultate (Vortrag, Poster & schriftliche Ausarbeitung). wahlweise:  * Modellierung neuronaler Systeme und Analyse neuronaler Daten  * Umsetzung von Verfahren des maschinellen Lernens mit den Schwerpunkten Mustererkennung und reinforcement learning"
Projektorientiertes Praktikum,"4, 9","Die Studierenden haben folgende Faehigkeiten: • Analytische und methodische Faehigkeiten sowie Methoden zur selbststaendigen Planung,  Organisation und Dokumentation von Projekten • Grundlagenwissen in elektronischen und digitalen Grundschaltungen • Synthese zwischen gelernter Bauteiltheorie und praktischer Anwendung • Anwendung der im Studium erlernten Theorie in Analog- und Digitalschaltungen, inkl. Schaltungsentwurf, -aufbau, -analyse und -simulation • Praktischer Umgang mit Analog- und Digitalschaltungen sowie der dazu erforderlichen Messgeraete • Grundlagen zur wissenschaftlichen Dokumentation der eigenen Arbeit  • Praesentation der eigenen Arbeit • Teamfaehigkeit  • Wissen um die Notwendigkeit des selbststaendigen Lernens und des verantwortlichen Handelns • Methodenwissen in Form von Planung und Organisation von Projekten (Zeitplaene, Meilensteine, Strukturierung der Aufgabenstellung in Arbeitspakete, Schnittstellen) • Fachwissen in Form von projektbezogenen Referaten oder Workshops durch die  Studierenden • Grundlegende praktische Faehigkeiten die zur Fertigung und Anwendung einer elektronischen  Analog-  Digitalschaltung notwendig sind (inkl. Schaltungsentwurf, -analyse, -aufbau und Tests) • Dokumentation und Praesentation der eigenen Arbeit (Protokolle, Abschlusspraesentation,  Abschlussbericht, Handout) • Erarbeitung grundlegender Kenntnisse in computergestuetzter Schaltungs-Bauteilsimulation  Dokumentation derselben • Simulative Betrachtung verschiedener Bauelemente bei verschiedenen Spannungen und  Umgebungseinfluessen • Erstellung und Digitalisierung eines Schaltungs- und Platinenlayouts unter Beruecksichtigung formeller Vorgaben • Loesung von Aufgaben in Teams in Form von Arbeitsprozessen unter Beachtung sozialer  Aspekte  Nach Verfuegbarkeit:  • Institutsuebergreifenden Einblick in Forschung und Industrie durch Besuch von InstitutenBetrieben • Vermittlung von Zusatzwissen in Form von Workshops und Themen-Abenden. Das Modul enthaelt auch Inhalte zur gesellschaftlichen Verantwortung und Nachhaltigkeit bzw. zur Technikfolgenabschaetzung, insbesondere: - Problem- und Praxisbezug - Zukunftsbezug und Reflexivitaet - Normativitaet und Nachhaltigkeit - Inter- und Transdisziplinaritaet"
Projekt: Symbolische Kuenstliche Intelligenz,"4, 9","Die Studierenden verfuegen ueber die Faehigkeit zur Erprobung technischen und methodischen Wissens aus dem Gebiet der symbolischen Kuenstlichen Intelligenz. Sie sind in der Lage, Verfahren zur Realisierung einer komplexen Aufgabenstellung zu konzipieren, zu implementieren, zu evaluieren und kritisch zu reflektieren. Sie haben die Koordination und Arbeit im Team erfahren. * inkrementelle Entwicklung einer spielstarken KI fuer ein strategisches 2-Personen-Spiel: Alpha-Beta-Suche, Optimierungen, Contests gegen die KIs der anderen Gruppen. * andere Themen der symbolischen KI auf Anfrage: Maschinelles Lernen, Constaint Satisfaction Problems, Planung. Studierende sind eingeladen, eigene Themen vorzuschlagen."
Rechnernetze und Verteilte Systeme,"9, 11","Die Studierenden verstehen das Prinzip hinter der Schichtenarchitektur von Netzwerkprotokollen und koennen beschreiben welche Aufgaben die jeweilige Schicht im OSI-Modell erfuellt. Des Weiteren sind sie in der Lage die Funktionsweise der wichtigsten Protokolle des Internets (u.a. Ethernet, IP, DNS, TCP, UDP) zu beschreiben. Darueber hinaus koennen die Studierenden darstellen welche Vorteile eine verteilte Netzwerkarchitektur bietet, welche Herausforderungen es beim Entwurf von verteilten Systemen gibt (u.a. Zeitsynchronisation, Konsens, atomizitaet von Transaktionen) und sie koennen Algorithmen beschreiben um diese Probleme zu loesen. Das Praktikum befaehigt die Studenten einfache Netzwerkanwendungen mit Hilfe der Berkeley-Socket-API zu entwickeln in der Programmiersprache C, wodurch Sie in der Lage sind die kennengelernten Algorithmen eigenstaendig in die Praxis umzusetzen. * Prinzipien der Verteiltheit  * Inter-Prozess-Kommunikationsparadigmen (mit Sockets sowie komplexen Interaktionsmodellen)  * Lokale Netze im Internet; Beispiele: Ethernet und WLAN  * Prinzipien des Internetprotokollstack: TCP, UDPRTP, IP  * Mechanismen der Vernetzung: Vermittlungsverfahren, Fehlerkontrolle, Routing  * Strukturierung des Zugriffs auf Dienste (Client-Server, Peer-to-peer)  * Middleware  * Webdienste  * Fundamentale Fragestellungen in verteilten Systemen: Zeitsynchronisation, Consensus, Transaktionen Ein wesentlicher Aspekt des Moduls Rechnernetze und Verteilte Systeme ist es, die Vorteile von dezentralen, verteilten Systemen zu erlaeutern. Dabei wird an mehreren Stellen auf die gesellschaftlichen Folgen von zentralisierter Infrastruktur eingegangen und die Frage gestellt, warum es Teil der Philosophie des Internets ist, Machtkonzentration mit technischen Mitteln zu vermeiden. (Insbesondere wird dies in den Vorlesungsbloecken zum Thema Peer-to-Peer Kommunikation und DNS & WWW behandelt.)"
Regelungstechnik,"7, 9, 11","Die Studierenden besitzen einen ueberblick ueber grundlegende Methoden der Regelungstechnik zur Modellierung, Analyse und Synthese von Regelkreisen und koennen diese anwenden. Durch uebungen und Anwendungsbeispiele innerhalb eines Praktikums koennen die Teilnehmenden nach Abschluss des Moduls praktische Probleme selbstaendig durch Anwendung von Softwaretools loesen. Wiederholung Signale und Systeme, Systembeschreibung im Zeit- und Frequenzbereich, Stabilitaet, quantitative Regelkreiseigenschaften, Grenzen erreichbarer Regelkreiseigenschaften, Robustheit, Reglerentwurf mit Frequenzgangsmethoden, Wurzelortskurvenmethode, algebraischer Reglerentwurf, Regelkreise mit Totzeit. Das Modul enthaelt auch Inhalte zur gesellschaftlichen Verantwortung und Nachhaltigkeit bzw. zur Technikfolgenabschaetzung, insbesondere zur Notwendigkeit von Regelung bei der verstaerkten Einbindung erneuerbarer Energien in das Stromnetz."
Robotics,"4, 9","Nach Abschluss des Moduls verfuegen Studierende ueber Kenntnisse und praktische Loesungen zur Kontrolle von mehrgliedrigen Robotern. Des Weiteren verfuegen sie ueber Methoden zur Abstraktion und Vereinfachung komplexer, nichtlinearer Probleme im Bereich der Aktuierung, Wahrnehmung und Repraesentation, die die Basis fuer kognitives und intelligentes Handeln bilden. Konzepte, Algorithmen und anwendungsspezifische Aspekte der Robotik: Kinematik, Dynamik, Bahnplanung, Positionsregelung, Reglereinstellung, Kollisionsvermeidung, Bildverarbeitung, Probabilistic Robotics, Simulataneous Localization and Mapping (SLAM). Praktische Implementierung in echtzeitfaehigen Systemen."
Robotics: Advanced,"4, 9","Studierende erhalten ein tiefes Verstaendnis in Probleme und Methoden der Robotik im Kontext von embodied intelligence. Sie sind in der Lage, etablierte und neuartige Konzepte und Methoden kritisch zu betrachten und anzuwenden.  Methoden, Algorithmen und Grenzen des Stands der Technik im Greifen, Kollisionsvermeidung, Kraftregelung, integrierte Bahnplanung und Regelung, Visuelle Wahrnehmung, Repraesentation von Raum und Maschinelles Lernen. "
Robotics I+II,"4, 9","Die Studierenden erwerben Wissen ueber die Probleme und deren praktischen Loesungen zur Kontrolle vielgelenkiger Roboter. Sie besitzen Methoden zur Abstraktion und Vereinfachung komplexer, nichtlinearer Probleme im Bereich der Aktuierung, Wahrnehmung und Repraesentation, welches die Basis fuer kognitive und intelligente Roboter bildet. Die Studierenden habe des weiteren ein tiefes Verstaendnis fuer die Probleme und Methoden in der Robotik (im Kontext der Embodied Intelligence). Studierende sind in der Lage, etablierte als auch neue Methoden und Konzepte kritisch zu hinterfragen. Robotics I + II besteht aus den zwei Modulen Robotics und Robotics: Advanced mit folgendem Inhalt: Konzepte, Algorithmen und anwendungsspezifische Aspekte der Robotik. Kinematik, Dynamik, Positionskontrolle, Bahnerzeugung, Reglerjustierung, Kollisionsvermeidung, Visuelle Regelung, Probabilistische Robotik, Simultane Lokalisierung und Kartierung (SLAM). Praktische Implementierung auf einem Echtzeitregelungssystem."
Robotics: Project,"4, 9","Nach dem Besuch des Moduls verfuegen die Studierenden ueber fundierte Kenntnisse zu bestimmten Themen der laufenden, hochmodernen Robotikforschung. Die Studierenden sammeln sowohl theoretisches Wissen als auch praktische Erfahrung und fuehren gegebenenfalls Experimente mit realen Robotern durch, um ihre Forschungsideen zu entwickeln und zu validieren. Sie lernen, wie man ein Projekt organisiert, verfolgt und an Ressourcenbeschraenkungen anpasst. Sie lernen, wie sie unabhaengig auf ein Projektziel hinarbeiten und gleichzeitig wissenschaftliche und praktische Ziele in Einklang bringen koennen. Die Studierenden werden sich Kenntnisse erarbeiten in Projektplanung, Projektpraesentationen, Diskussion von Projektideen in einem Team, Verfassen wissenschaftlicher Berichte und Dokumentation des Quellcodes zur Verwendung durch andere. Unterschiedliche Themen aus der Robotik und verwandten Forschungsbereichen, z. B. maschinelles Lernen, Wahrnehmung, Bewegungsplanung, Manipulation, Steuerung und Hardware-Design. Die Projektthemen sind eng mit den laufenden Forschungsaktivitaeten der Abteilung verknuepft. Aus diesem Grund empfehlen wir potenziellen Studenten, die Website der Abteilung zu besuchen, um sich ueber moegliche Projektthemen zu informieren: https:www.robotics.tu-berlin.demenueresearch"
Schaltungstechnik,"4, 9","Die Studierenden sind in der Lage, alle wichtigen elektrischen Grundschaltungen und deren Verhalten auf Basis ihrer bereits erworbenen Bauelementkenntnisse zu modellieren und analytisch zu beschreiben, sowie komplexere Schaltungen zu bewerten, die sich aus diesen Grundschaltungen zusammen setzen. Insbesondere koennen sie diese Faehigkeiten auf analoge Verstaerkerschaltungen, einfache Operationsverstaerker-Schaltungen, logische Gatter und kleinere Logikschaltungen anwenden. Schaltungstechnische Grundprinzipien, konkrete Grundschaltungen und Entwurfsmethodik von analogen und digitalen Schaltungen auf Bauelementebene. Diskret und integriert aufgebaute Schaltungen, Bauelemente und deren Modellierung, Geltungsbereich und Grenzen analytischer Modelle, Kennlinien realer Bauelemente, schaltungstechnische Grundkonfigurationen, Kleinsignalparameter, Kleinsignal-Ersatzschaltbild. MOS-Schalter, Transfer-Gate, MOS-Stromquellen und Stromspiegel, einfache MOS-Verstärkerschaltungen, Sourcefolger, MOS-Differenzstufen, ausgewaehlte Bipolar-Grundschaltungen, Operationsverstärker, idealer OP, OP-Verstaerkerschaltungen und weitere Grundschaltungen (Differenzverstaerker, Instrumentenverstaerker), Komparatorschaltungen, einfache OP-Filterschaltungen, innerer Aufbau von OPs auf Transistorebene (MOS und Bipolar). Digitale Grundschaltungen, logische Funktionen, statische CMOS-Logik."
Data Science Project,"4, 9","Absolventen des Moduls haben praktische Erfahrungen im Umgang mit komplexen Data Science Problemen erlangt. Sie sind in der Lage, wissenschaftliche Fragestellungen zu formulieren und diese systematisch anhand von empirischen Evaluationen auf Datensaetzen zu validieren. Absolventen koennen die Ergebnisse der Untersuchung nach wissenschaftlichen Standards ausformulieren und praesentieren. Sie sind befaehigt eigenstaendige Forschungsansaetze zu verfolgen und fremde wissenschaftliche Texte zu kritisieren. In diesem Kurs wird ein Data Science Problem aus wissenschaftlicher oder industrieller Domaene praxisorientiert bearbeitet. Ziel des Projektes ist es, eine wissenschaftliche Fragestellung zu formulieren und zu validieren. Dazu werden eigene Ansaetze zur Loesung des Problems entwickelt und implementiert. Der Loesungsansatz und die Ergebnisse der Validierung werden in einem wissenschaftlichen Bericht festgehalten und im Rahmen eines Vortrags praesentiert. Studierende beschaeftigen sich insbesondere mit den folgenden Themen: - Machine Learning - Feature Extraction - Deep Learning - Data Preprocessing - Model Evaluation - Machine Learning Libraries - Wissenschaftliches Schreiben"
Seminar Mess- und Diagnosetechnik,"4, 9","Die Studierenden sind in der Lage, zu einem speziellen Forschungsthema eine Literaturrecherche durchzufuehren, die Ergebnisse wissenschaftlich zusammenzufassen und anschliessend in einem Vortrag zu praesentieren und zu verteidigen. Es werden Vortraege neuer Forschungsergebnisse und Entwicklungstendenzen auf den Gebieten der Mess- und Diagnosetechnik, der Modellbildung und Simulation ausgearbeitet und gehalten. Der Schwerpunkt liegt im Bereich der Fahrzeug- und Motorentechnik."
Signale und Systeme,"4, 9","Die Studierenden kennen die mathematischen Grundlagen fuer die Darstellung von Signalen und fuer die Berechnung des Verhaltens von Systemen, wie sie sowohl in nachrichtentechnischen als auch energietechnischen Systemen benoetigt werden. Nach erfolgreichem Abschluss des Moduls kennen die Studierenden die wichtigsten Theorien und Modellvorstellungen aus diesem Themengebiet und koennen diese beurteilen und in anspruchsvollen mathematischen Operationen anwenden. Kontinuierliche Signale und Systeme: Kontinuierliche Signale im Zeitbereich, Fouriertransformation, Laplacetransformation, Faltung, kontinuierliche LTI Systeme im Zeitbereich, kontinuierliche LTI Systeme im Frequenzbereich, Pol-Nullstellen-Darstellung, Systemeigenschaften Diskrete Signale und Systeme:  Abtastung, Quantisierung, PCM, Diskrete Signale im Zeit- und Frequenzbereich, z-Transformation, diskrete lineare Systeme, einfache digitale Filter "
Signalprozessor-Projekt,"4, 9, 11","Die Studierenden haben die praktische Faehigkeit zur Entwicklung eines DSP-Systems mit Software und peripherer Hardware erlernt. Neben den fachlichen Inhalten haben sie auch Erfahrungen im Projektmanagement und in der Teamarbeit sowie eine systematische Herangehensweise und Dokumentation. Gruppen von jeweils ca. acht Studierenden definieren sich ein eigenes Projekt zur Entwicklung eines Systems oder eines Geraetes auf der Basis eines DSP- Entwicklungsboards. Das Projekt wird in Arbeitspakete unterteilt, wobei auf Schnittstellenfestlegungen besonders zu achten ist. In Teamarbeit findet die Schaltungsund Software-Entwicklung der Aufbau und Test statt. Die Ergebnisse werden in einem Bericht dokumentiert und am Semesterende gemeinsam demonstriert. Beispiele: autonome Fahrzeuge, drahtlose Datenkommunikation, Koerpermonitoring-System etc."
