titelde,SDGs,Descriptions
Messdatenverarbeitung,"4,9,12,13,17","Lehrergebnisse: Die Studierenden sind in der Lage, PC- und mikrocontrollergestützte Messdatenverarbeitungssysteme einzusetzen, um Messdaten mit modernen Methoden der Signalverarbeitung auszuwerten. Insbesondere erlernen die Studierenden den Entwurf digitaler Filter, können Transformationen der Messdatenverarbeitung anwenden und deren Ergebnisse interpretieren. Ferner haben sie die grundlegende methodische Kompetenz zur selbständigen Lösung praxisrelevanter Aufgaben der Messdatenverarbeitung.
Lehrinhalte: Es werden der Aufbau und die Wirkungsweise moderner Messdatenverarbeitungssysteme dargestellt, wobei ausschließlich rechnergestützte Anwendungen (PC, DSP, Mikrocontroller) behandelt werden. Dazu werden zunächst grundlegende Prinzipien der Architektur digitaler Messdatenverarbeitungssysteme vorgestellt, diskutiert und entworfen. Als weiterer Schwerpunkt des Moduls werden Spektralanalyseverfahren (FFT), Entwurf digitaler Filter und Transformationen in der Messtechnik (z.B. Wavelet, Zeit-Frequenzverteilung) für transiente Signale gelehrt. Das Praktikum zur Messdatenverarbeitung dient der Vertiefung des Stoffs. Dabei sollen die Studenten für die Problemstellungen bei der Messdatenverarbeitung auf ressourcenbegrenzten digitalen Systemen (Mikrocontroller) sensibilisiert werden."
Elektronik und Mikroprozessortechnik,"4,9,17","Lehrergebnisse: Die Studierenden haben ihr Wissen zu Elektronik und Mikroprozessortechnik vertieft und abgerundet. Sie sind in der Lage sich selbstständig in komplexe neue Sachverhalte aus den Bereichen Assemblerprogrammierung von neuen Mikroprozessoren einzuarbeiten und/oder anspruchvolle elektronische Schaltungen zu entwickeln bzw. analysieren. Die Themen werden nach den individuellen Bedürfnissen der Studierenden ausgewählt. Sie sind in der Lage, einen eigenen fachlichen Beitrag zu leisten, im Team zu arbeiten und Arbeitsergebnisse adäquat zu dokumentieren bzw. zu präsentieren.
Lehrinhalte: Im Seminar besteht die Möglichkeit Themen nach Absprache mit den Betreuern mit den Schwerpunkten Elektronikentwicklung und Mikrocontrollerprogrammierung aufzuarbeiten und zu präsentieren. In diesem Rahmen können auch kleinere praktische Aufgaben bearbeitet werden."
Ereignisdiskrete Systeme,"4,9,12,17","Lehrergebnisse: Die Studierenden verfügen über Kenntnisse in grundlegenden Methoden der Regelung ereignisdiskreter Systeme. Dies beinhaltet die Modellierung und Analyse von Regelstrecken sowie die Synthese von Regelkreisen. Neben der Vermittlung von methodischen Kenntnissen ist das Sammeln von praktischen Erfahrungen beim Lösen von Anwendungsbeispielen und im Umgang mit Softwaretools integraler Bestandteil des Moduls. Diese Fähigkeiten werden durch in die Lehrveranstaltungen integrierte Rechnerübungen erworben.
Lehrinhalte: Theoretische Grundkenntnisse sowie deren praktische Anwendung auf Regelungs- und Automatisierungsprobleme stehen im Mittelpunkt. Die Lehrveranstaltung Ereignisdiskrete Systeme ist eine Einführung in die Modellierung ereignisdiskreter Systeme, durch beispielsweise Automaten und Petri-Netze, und erläutert deren Regelung."
Elektronik,"4,9,12,17","Lehrergebnisse: Aufbauend auf dem Grundlagenwissen der Schaltungstechnik und Mikroprozessortechnik kennen die Studierenden die theoretischen Grundlagen zur Entwicklung systemelektronischer Baugruppen. Sie beherrschen die Grundlagen elektronischer Systeme, sind in der Lage, die notwendigen Berechnungen durchzuführen und kennen die Methoden zum Entwurf, Dimensionierung und zur Systemintegration.
Lehrinhalte: In der Vorlesung werden die Funktionen analoger und digitaler elektronischer Komponenten und Systeme sowie deren Entwurf und die Systemintegration vermittelt. Konkrete Inhalte sind Operationsverstärkerschaltungen, Filterschaltungen, Oszillatoren, PLL, AD-/DA Umsetzer, programmierbare Logik und Spezialgebiete aus der Mikro- und Signalprozessortechnik. Innerhalb der Übungen werden Rechen- und Entwurfsbeispiele betrachtet. Optional besteht durch die zusätzliche Wahl des Moduls „Projekt Elektronik“ die Möglichkeit im Team mit ca. acht Personen in einem frei wählbaren Projekt den Entwurf, Aufbau und Test eines elektronischen Systems in Hard- und Software durchzuführen, wobei neben den fachlichen Inhalten auch die Teamarbeit und das Projektmanagement von Bedeutung sind."
Kommunikationsnetze mit Praktikum,"4,9,17","Lehrergebnisse: Die Studierenden haben in diesem Modul einen Überblick über die grundlegende Problematik der Kommunikationsnetze erhalten und kennen nun die für Kommunikationsnetze wichtigen Protokollmechanismen. Weiterhin haben die Studierenden gelernt, alternative Protokollarchitekturen und deren spezielle Ausprägungen wie sie in Telefonnetzen, lokalen Netzen, Internet und Anwendungsdiensten verwendet werden, detailliert zu verstehen und analysieren.  Durch das begleitende Praktikum haben sie für ausgewählte Protokollmechanismen und -architekturen vertiefende Kenntnisse erlangt.
Lehrinhalte: * Grundkonzepte der Kommunikation   * Kurzer Überblick über die Grundlagen der Nachrichtentechnik (Kanaleigenschaften, analoge und digitale Übertragung), Bitsynchronisation,   * Leitungs- und Paketvermittlung, Multiplexverfahren  * Telefonnetze  * Das ISO-OSI Schichtenmodell, Protokollmechanismen  * Fehlererkennung und -behebung, Flusskontrolle, Packet-Framing, Mehrfachzugriffsverfahren, Medium Access Control, MAC)  * Local Area Network (LAN)-Technologien, insbesondere die Familie der 802.x-Protokolle wie z.B. Ethernet und Wireless LAN  * Link Layer Protokolle (HDLC), Bridging  * Aufbau großer Netze aus Teilnetzen, Weiterleiten von Paketen, Wegewahl (Routing) von Paketen  * Verbindungsmanagement, Flusskontrolle und Überlastabwehr  * Das Internet, Architektur und Protokolle im Internet  * Dienstqualitätsunterstützung in Paketbasierten Netzen  * Einheitliche Darstellung von Information in heterogenen Systemen, Nutzung entfernter Rechner (Remote Procedure Call)   * Applikationsdienste und -protokolle: Web, Multimedia, Übertragung"
VS - View Synthesis,"4,9,17","Lehrergebnisse: Bildsynthese in der Videokommunikation: Die Studierenden erwerben schrittweise Kompetenz über die geometrischen Zusammenhänge zwischen realen und virtuellen Kameraansichten. Dazu wird vertiefend auf die geometrischen Beziehungen zwischen drei Kameraansichten eingegangen. Das Modul verdeutlicht, dass die Bildsynthese in vielfältigen Anwendungsgebieten insbesondere der Videokommunikation eingesetzt werden kann.
Lehrinhalte: Bildsynthese in der Videokommunikation: Kameramodell und Stereogeometrie, Homographie, 3D Rekonstruktion, trifokales Stereo, Trilinearitäten, trifokaler Tensor, Überblick über Verfahren zur Bildsynthese (plenoptische Funktion, Lichtfelder, Zwischenbildinterpolation, volumetrische Rekonstruktion)."
Kein Name,"4,9,17","Lehrergebnisse: Stereobildverarbeitung in der Videokommunikation: Die Studierenden erwerben schrittweise Kompetenz über die geometrischen Zusammenhänge des Abbildungsprozesses einer 3D-Szene in zwei Kameraansichten. Das Modul verdeutlicht, dass die bildbasierte Tiefenanalyse in vielfältigen Anwendungsgebieten, insbesondere in der Videokommunikation, eingesetzt werden kann.
Lehrinhalte: Stereobildverarbeitung in der Videokommunikation: Grundlagen der projektiven Geometrie, Kameramodell, Kamerakalibrierung, Epipolargeometrie, Schätzung der projektiven Stereogeometrie, Rektifikation, Korrespondenzproblem in der Stereobildverarbeitung, Verfahren zur Korrespondenzanalyse, hybridrekursives Matching zur Disparitätsanalyse, Anwendungen in der 3D Videokommunikation"
The Software Horror Picture Show,"3,4,9,16","Lehrergebnisse: Absolventinnen und Absolventen dieses Moduls kennen und verstehen — anhand von einer ausgewählten Menge von Beispielen — die Auswirkungen von Softwarefehlern, die in der Praxis entweder hohe finanzielle Verluste oder gar den Verlust von Menschenleben verursachten. Sie gewinnen Wertschätzung für Qualitätssicherungspraktiken und haben ein höheres Bewusstsein für mögliche Fehler. Die Studierenden sind in der Lage wissenschaftliche Themen vor einem Fachpublikum zu präsentieren und in einem anschließenden Streitgepräch über ihr Thema zu diskutieren. Dabei kennen sie grundlegende und fortgeschrittene Präsentationstechniken um den Inhalt eines Referats möglichst klar und verständlich anzubringen. Die Studierenden sind in der Lage einen klar gegliederten schriftlichen Bericht über ihr jeweiliges Thema zu verfassen.
Lehrinhalte: Eine Auswahl von Beispielen von mehr oder weniger berühmt gewordenen Softwarefehlern.  Im jeweiligen Fall Darlegung des Umfelds und der Randbedingungen.  Präzise (wenn nicht gar formale) Charakterisierung der Fehler und ihrer Auswirkungen.  Analyse/Abschätzung, wie die Fehler hätten vermieden werden können. Darüber hinaus Diskussion, warum solche Fehler auftreten und wie man generell mit Fehlern effektiver umgehen könnte.  Verschiedene Techniken zur Präsentation und textuellen Aufbereitung der vorgestellten Themen."
"Grundlagen der Elektrotechnik (für BT, BGT, LMT)","7,9,12,13","Lehrergebnisse: Da die elektrische Energie und deren Anwendung zur Energiewandlung und Signalverarbeitung in den verschiedenen Bereichen des Ingenieurwesens eine bedeutende Rolle spielt, wird in dem Modul Fach- und Methodenkompetenz zu diesem Thema vermittelt. Es werden sowohl Methoden zur Behandlung elektrotechnischer Fragestellungen als auch beispielhafte Anwendungen der Elektrotechnik behandelt. Die Studierenden sollen: •	verschiedenen Wandlungsformen der elektrischen Energie und deren Gesetzmäßigkeiten sowie ihre Anwendungsformen kennen, •	Methoden zur Lösung elektrotechnischer Probleme erlernen und anwenden.
Lehrinhalte: Grundlagen der Elektrotechnik: Grundbegriffe, Gesetze für Gleichstromkreise, elektrische und magnetische Felder, das Induktionsgesetz und die Anwendungen beim Transformator, Kräfte im Magnetfeld, Wechselstromkreise und Halbleiterbauelemente."
Programmierpraktikum: Skalierbare Systeme,"4,8,9,17","Lehrergebnisse: Absolventen dieses Moduls haben Kenntnisse und praktische Erfahrungen im Bereich moderner, verteilter und komplexer IT-Systeme. Schwerpunkte sind Softwareentwurf, Programmierung, Bereitstellung und Sicherstellung der Wartbarkeit von verteilten, web-basierten Systemen. Die Projektarbeit im Team vermittelt zusätzlich soziale und Projektmanagement-Kompetenzen.
Lehrinhalte: Einsatz von skalierbaren Softwareentwicklungsparadigmen, Kommunikations- und Projektmanagement-Werkzeugen, Projektplanung, Software-Analyse und -Design, Implementierung, Dokumentation, Evaluation und Test anhand einer praxisrelevanten Aufgabenstellung."
Aktuelle Themen zu eingebetteten Systemen,"4,9,17","Lehrergebnisse: Nach Abschluss dieses Seminars können die Studierenden Forschungsarbeiten im Bereich der Architektur eingebetteter Systeme lesen, diskutieren, verstehen, präsentieren und zusammenfassen sowie Forschungskolloquien verfolgen. Sie können Forschungsergebnisse anderer bewerten und Diskussionspunkte erörtern. Zudem können sie eine Abhandlung über aktuelle Entwicklungen im Bereich der Architektur eingebetteter Systeme verfassen. Die Themen werden nach den individuellen Bedürfnissen der Studierenden ausgewählt.
Lehrinhalte: In diesem Seminar erörtern die Studierenden wissenschaftliche Arbeiten zum Thema Architekturen eingebetteter Systeme, treffen eine Auswahl an Arbeiten und präsentieren sowie diskutieren diese Arbeiten in der Gruppe. Zudem schreiben sie eine bewertende Abhandlung über die entsprechenden Arbeiten."
Projektpraktikum Automatisierungstechnik,"3,4,9,17","Lehrergebnisse: Am Beispiel aktueller Forschungsthemen vermittelt das Projektpraktikum Kenntnisse im Umgang mit automatisierungstechnischen Geräten und rechnergestützten Analyse- und Entwurfsmethoden in Verbindung mit Erfahrungen im Projektmanagement.  
Lehrinhalte: Der Schwerpunkt des Praktikums ist die Zusammenarbeit von bis zu drei Studierenden bei der Lösung einer gemeinsamen Projektaufgabe zu aktuellen Forschungsfragen der Regelungstechnik, Rehabilitationsrobotik und Neuroprothetik. Es sollen nicht nur, wie beim konventionellen Praktikum üblich, Teilaufgaben gelöst werden, sondern jeder Studierende der Gruppe ist für den Erfolg des gesamten Projektes verantwortlich. Wichtige Entscheidungen werden gemeinsam getroffen. Die Bearbeitung der Aufgabe wird arbeitsteilig von allen Teilnehmern durchgeführt, wobei das Management des Projektes von einem Gruppenteilnehmer übernommen wird. Dies entspricht der Projektdurchführung im industriellen Arbeitsumfeld.  Für die Durchführung des Praktikums wird nur die Aufgabenstellung vorgegeben, jedoch kein detaillierter Arbeitsplan. Alle notwendigen Einrichtungen, technischen Unterlagen und Datenblätter werden zur Verfügung gestellt. Die Betreuung dieses Projektes bezieht sich auf eine Beratung bei der Aufstellung des Lösungsweges und der Projektorganisation. Sie wird zu festgelegten Zeiten vorgenommen. "
Projektpraktikum Automatisierungstechnik,"3,4,9,17","Lehrergebnisse: Am Beispiel aktueller Forschungsthemen vermittelt das Projektpraktikum Kenntnisse im Umgang mit automatisierungstechnischen Geräten und rechnergestützten Analyse- und Entwurfsmethoden in Verbindung mit Erfahrungen im Projektmanagement.
Lehrinhalte: Der Schwerpunkt des Praktikums ist die Zusammenarbeit von bis zu vier Studierenden bei der Lösung einer gemeinsamen Projektaufgabe zu aktuellen Forschungsfragen der Regelungstechnik, Rehabilitationsrobotik und Neuroprothetik. Es sollen nicht nur, wie beim konventionellen Praktikum üblich, Teilaufgaben gelöst werden, sondern jeder Studierende der Gruppe ist für den Erfolg des gesamten Projektes verantwortlich. Wichtige Entscheidungen werden gemeinsam getroffen. Die Bearbeitung der Aufgabe wird arbeitsteilig von allen Teilnehmern durchgeführt, wobei das Management des Projektes von einem Gruppenteilnehmer übernommen wird. Dies entspricht der Projektdurchführung im industriellen Arbeitsumfeld.  Für die Durchführung des Praktikums wird nur die Aufgabenstellung vorgegeben, jedoch kein detaillierter Arbeitsplan. Alle notwendigen Einrichtungen, technischen Unterlagen und Datenblätter werden zur Verfügung gestellt. Die Betreuung dieses Projektes bezieht sich auf eine Beratung bei der Aufstellung des Lösungsweges und der Projektorganisation. Sie wird zu festgelegten Zeiten vorgenommen."
Elektronik und Signalverarbeitung,"4,9,12,17","Lehrergebnisse: Die Studierenden haben ihr Wissen zu Elektronik und Signalverarbeitung vertieft und abgerundet. Sie sind in der Lage sich selbstständig in komplexe neue Sachverhalte aus den Bereichen Mikrocontroller-/ Signalprozessorprogrammierung einzuarbeiten, anspruchvolle elektronische Schaltungen zu entwickeln bzw. analysieren und/oder komplexe Algorithmen in Matlab oder C zu implementieren. Die Themen werden nach den individuellen Bedürfnissen der Studierenden ausgewählt. Sie sind in der Lage, einen eigenen fachlichen Beitrag zu leisten, im Team zu arbeiten und Arbeitsergebnisse adäquat zu dokumentieren bzw. zu präsentieren.
Lehrinhalte: Im Seminar „Elektronik und Signalverarbeitung“ besteht die Möglichkeit Themen in Absprache mit dem Betreuer mit den Schwerpunkten Elektronikentwicklung und Signalverarbeitung aufzuarbeiten und zu präsentieren. Die Themen umfassen Beispielsweise den Entwurf und/oder die Analyse elektrischer Schaltungen, die Erfassung elektrischer oder nichtelektrischer Signale und/oder die Implementierung oder die Erweiterung von Signalverarbeitungsalgorithmen auf Signalprozessoren oder Computern in C oder Matlab. In diesem Rahmen können auch kleinere praktische Aufgaben bearbeitet werden."
Übergangspraktikum Elektronik,"4,9,12,17","Lehrergebnisse: Aufbauend auf dem Grundlagenwissen der Schaltungstechnik, Mikroprozessortechnik und Elektronik können die Studierenden die theoretischen Grundlagen zur Entwicklung systemelektronischer Baugruppen praktisch umzusetzen. Sie beherrschen die Grundlagen elektronischer Systeme, sind in der Lage, die notwendigen Berechnungen durchzuführen und kennen die Methoden zum Entwurf, Dimensionierung und zur Systemintegration um elektronische Systeme praktisch aufzubauen zu dimensionieren und zu vermessen. Das Modul vermittelt überwiegend: Fachkompetenz 33% Methodenkompetenz 34% Systemkompetenz 33%
Lehrinhalte: Im Praktikum werden die in der Vorlesung Elektronik gelegten theoretischen Grundlagen analoger und digitaler elektronischer Komponenten und Systeme durch praktische Anwendungen vertieft. Konkrete Inhalte sind Operationsverstärkerschaltungen, Filterschaltungen, Oszillatoren, PLL, AD-/DA-Umsetzer, programmierbare Logik und Spezialgebiete aus der Mikroprozessortechnik. Das Praktikum beinhalten den praktischen Aufbau, die Dimensionierung und das Vermessen der in Vorlesung und Übung theoretisch erarbeiteten Schaltungen, und erweitern diese auf Anwendungsbeispiele und die dafür notwendingen Änderungen. Optional besteht durch die zusätzliche Wahl des Moduls „Projekt Elektronik“ die Möglichkeit im Team mit ca. acht Personen in einem frei wählbaren Projekt den Entwurf, Aufbau und Test eines elektronischen Systems in Hard- und Software durchzuführen, wobei neben den fachlichen Inhalten auch die Teamarbeit und das Projektmanagement von Bedeutung sind."
Programmierpraktikum Kommunikationstechnologien,"4,9,17,8","Lehrergebnisse: Die Studierenden haben praktische Erfahrung bei der Softwaretechnischen Umsetzung neuer Applikationen und Einsatzszenarien erlangt. Der Schwerpunkt liegt dabei vor allem auf modernen Systemen der drahtlosen Kommunikation, sowie die dabei eingesetzten Internetprotokolle und Anwendungen. Durch die Projektarbeit in Teams sind zusätzlich Projektmanagement- und Sozialkompetenzen geschult worden.
Lehrinhalte: In der Veranstaltung werden grundlegende Konzepte der objektorientierten Softwareentwicklung anhand einer praktischen Aufgabe aus dem Bereich Kommunikationsnetze geübt. Die in der Vorlesung Softwaretechnik und Programmierparadigmen ermittelten Konzepte zur Projektentwicklung und Softwaremodellierung, sowie die Konzepte und Themen aus der Vorlesung Rechnernetze und Verteilte Systeme werden hier angewendet. Im Rahmen des Projektes sollen mehrere Gruppen unabhängig voneinander eine Anwendung mit Hilfe verschiedener Programmiersprachen (z.B. C++, Python, usw.) entwickeln. Dabei werden verschiedene Werkzeuge der Projektorganisation und Softwareentwicklung (z.B., SVN, git, usw.) angewendet."
Sichere Betriebsführung großskaliger erneuerbarer Energiesysteme und Stromnetze,"7,13,9,11,17,12","Lehrergebnisse: Für das Jahr 2050 visiert die Europäische Union (EU) eine Reduktion der CO2-Emissionen von 80 % bis zu 95 %. Dem massiven Anstieg und der Integration erneuerbarer Energien kommt in dieser Strategie eine Schlüsselrolle zu. Ergebnisse des EU-Forschungsprojekts „eHighway2050“ zeigen, wie sich ein trans-europäisches Netz zur Einbindung von Wasserkraft in Skandinavien, Windkraft in Deutschland und Solarenergie in Spanien und Italien entwickeln lässt, um die grüne Energie zum Kunden zu bringen. Alle EU-Länder bringen ihre Ressourcen ein. Dieser zukunftsweisende Plan schafft sowohl Chancen wie auch Herausforderungen für die Betriebsführung eines umfassenden erneuerbaren Energiesystems europäischer Dimension. Studierende erlernen passende und wichtige Grundlagen für diese großskalige Integration erneuerbarer Energien. Es wird gezeigt wie diese grundlegenden Methoden in der Führung von Energiesystemen Anwendung finden und moderne Technologien wie das Smart Grid, Elektromobilität und virtuelle Kraftwerke einbinden.
Lehrinhalte: Wir untersuchen zunächst die Entwicklung des Stromnetzes zu einem europäischen System und diskutieren Weiterentwicklungen zur großflächigen Einbeziehung erneuerbarer Energien. Als passenden Themen betrachten wir die Grundlagen für Modellbildung und Steuerung, inklusive der technischen Aspekte von Computermethoden der Leistungsflussberechnung, Datenmanagement und Netzsicherheit. Wie zeigen wie dieses Wissen bei der Formulierung und Findung von Lösungen weiterhilft, um eine große Anzahl erneuerbarer Energiequellen in das System zu integrieren. Die Vorlesungen werden durch ein Gruppenprojekt ergänzt um ein gutes eigenes Verständnis zu fördern."
"Computerbasierte Modellierung, Simulation, und Regelung Nachhaltiger Energiesysteme","7,9,11,13,17,12","Lehrergebnisse: Energiesysteme befinden sich weltweit in einem tiefgreifenden Wandlungsprozess. Dies lässt sich schnell an einigen Beispielen festmachen: •	Auf fossile Brennstoffe angewiesene Kraftwerke werden durch Erneuerbare ersetzt und mit Speichern kombiniert. •	Im Jahrhundert-Rennen AC gegen DC sind plötzlich moderne Gleichstromlösungen als Alternative zum Wechselstrom zurück. •	Leistungselektronische Umrichter eröffnen ganz neue Möglichkeiten für extrem schnelle Regelungen. •	In Entwicklungsländern entstehen Microgrids um Bedürfnisse wie das Laden von Mobiltelefonen oder Kühlen lokal zu bedienen; aber gleichzeitig gibt es schon Pläne für ein weltumfassendes globales Stromnetz. •	Synergien unter verschiedenen Technologiesektoren schaffen neue Konzepte wie Vehicle-to-Grid oder Power-to-Gas. Dies sind signifikante Trends. Oder gibt es etwa noch bessere Alternativen? Wie stellen wir sicher, dass die entstehenden Systeme effizient und sicher sind? Was passiert im Fall eines Fehlers? Diese und ähnliche Fragen lassen sich nur beantworten wenn die entsprechenden Modelle für die computergestützte Analyse und Design der Energiesysteme verfügbar sind. Aber was wissen wir über die Verfügbarkeit geeigneter Modelle? Ein Teil der Antwort besagt, dass es einige gute Tools mit hilfreichen Modellen gibt. Der andere Teil der Antwort ist, dass noch viele Modelle fehlen und die Qualität bestimmter bestehender Modelle verbesserungswürdig ist. In jedem Fall sind Kenntnisse über die rechnergestützte Modellbildung erneuerbarer Energiesysteme sehr wertvoll und zukunftsträchtig. Ingenieure und Wissenschaftler benötigen dieses Wissen, um informierte Entscheidungen über erneuerbare Energiesysteme der Gegenwart und der Zukunft zu treffen. Es ist genau dieses Wissen, das in vorliegendem Modul vermittelt wird.
Lehrinhalte: Ein besonders wichtiger Teil der Modellbildung betrifft die Analyse des dynamischen Verhaltens der Energiesysteme. In Computerprogrammen werden dazu die dynamischen Zustandsgleichungen mittels numerischer Integration in diskreter Form dargestellt. Verschiedene numerische Integrationsmethoden existieren, und diese haben unterschiedliche Eigenschaften und ergeben so unterschiedliche Lösungen. Für die fachlich richtige Anwendung von Simulationstools sind daher grundlegende Kenntnisse der Simulationsmethoden von höchster Bedeutung. Daher beginnt das Modul mit einer Einführung in diese Thematik. Es zeigt sich, dass die korrekte Anwendung erhebliche Auswirkungen auf die Qualität der Lösung hat. Dies wird besonders auch im Zusammenhang mit der Echtzeitsimulation zum Testen von Regeleinrichtungen diskutiert. Studierende erkennen die Bedeutung in dem sie in den Übungen selbst ein kleines eigenes Simulationsprogramm für elektrische Netze entwickeln.  Besonders aufschlussreich ist die Modellbildung von Energieversorgungsnetzen mit sehr hohen Anteilen erneuerbarer Einspeisung von 60 %, 80 % oder sogar 100 %. Die vorhandenen leistungselektronischen Umrichter zur Wandlung von Gleichstrom in Wechselstrom können dann systemweit extrem schnell auf Fehler reagieren und regeln. Einige angestammte Simulationstechniken liefern bei solch hohen Durchdringungsraten erneuerbarer Energien falsche Ergebnisse. Im Modul wird gezeigt wie diese 100 % erneuerbaren Energiesysteme richtig simuliert werden. Ferner wird untersucht, neue Technologien wie Power-to-Heat in die Simulation einzubinden."
Analog Integrated Circuits,"4,9,12,7","Lehrergebnisse: Der kontinuierliche Fortschritt im Bereich der integrierten Schaltungen und Systemen erlaubt es, immer komplexere Funktionalität mit stetig steigenden Arbeitsgeschwindigkeiten in einem Systems-on-Chip Ansatz zu integrieren.  Das Grundlagenmodul „Analog Integrated Circuits“ befasst sich mit den analogen Konzepten und Grundschaltungen, die in integrierten analogen Schaltungen Anwendung finden. Im Rahmen eines praktisch orientierten Ausbildungsteils werden die Fähigkeiten selbständig Grundschaltungen zu entwerfen, zu simulieren und das Layout zu erarbeiten vermittelt.
Lehrinhalte: In diesem Kurs werden die folgenden Themen vermittelt: 1.	Design und Layout integrierter passive Bauelemente 2.	MOSFET Klein- und Großsignalverhalten, Stabilität und Bodeplot  3.	MOSFET Grundschaltungen wie Stromspiegel, Common-Source Verstärker, Common-Gate Verstärker, Schaltungsrauschen 4.	Operationsverstärker, Differenzstufe, Frequenzkompensation"
Digital Integrated Circuits (DIC),"4,9,12,7","Lehrergebnisse: Vermittlung fundierter Grundlagenkenntnisse über den gesamten Entwurfsprozess integrierter digitaler Schaltungen, Halbleiterbauelemente, Herstellungsprozess, Layout, Grundlagen des digitalen CMOS Schaltungsentwurfs (Gatter, Transmission Gates, Logikfamilien), Sequentielle Schaltungen, Arithmetische Schaltungen
Lehrinhalte: Die Lehrninhalte in diesem Kurs fokusieren sich auf das Design und die Realisierung hochkomplexer digitaler Schaltungen (ASICs), Mikroprozessoren, Memory, Speicher u.s.w.  1. MOS-Kondensator und Transistor Physik 2. CMOS-Herstellungsprozess, die Layouterzeugung 3. CMOS-Inverter-Design, Stromverbrauch, Laufzeit 4. CMOS Komplexgatter, 5. Logic Effort  6. Dynamische CMOS-Logik, Stromverbrauch, Laufzeitverzögerung 7. CMOS Latches, CMOS-Register 8. Memory Zellen (SRAM, DRAM),"
Hot Topics in Communication Systems,"4,9,17","Lehrergebnisse: Die Studierenden sind in der Lage, moderne Verfahren der Nachrichtentechnik zu verstehen, eigenständig zu analysieren und systematisch zu entwerfen. Durch die Vertiefung der vermittelten Grundprinzipien der Quellcodierung bzw. der Digitalen Nachrichtenübertragung wird die Analyse und der Entwurf von Verfahren der Nachrichtentechnik durch die Studierenden auch anhand von Fallbeispielen praktisch nachvollzogen.
Lehrinhalte: Die Studierenden werden in der Analyse von Algorithmen der Nachrichtenübertragung angeleitet, lesen wissenschaftliche Publikationen selbstständig und führen eine umfassende Literaturrecherche zu einem gegebenen Thema durch. Die dabei gewonnenen Erkenntnisse werden in einem Abschlussvortrag präsentiert. "
Projekt Nachrichtenübertragung,"4,9,17","Lehrergebnisse: Die Studierenden sind in der Lage, moderne Verfahren der Nachrichtentechnik zu verstehen, eigenständig zu analysieren und systematisch zu entwerfen. Durch die Vertiefung der vermittelten Grundprinzipien der Quellcodierung bzw. der Digitalen Nachrichtenübertragung wird die Analyse und der Entwurf von Verfahren der Nachrichtentechnik durch die Studierenden auch anhand von Fallbeispielen praktisch nachvollzogen und implementiert. 
Lehrinhalte: Die Studierenden werden in der Analyse von Algorithmen der Nachrichtenübertragung angeleitet, lesen wissenschaftliche Publikationen selbstständig und führen eine umfassende Literaturrecherche zu einem gegebenen Thema durch. Die dabei gewonnenen Erkenntnisse werden implementiert und sowohl in einem Zwischenvortrag als auch einem Abschlussvortrag präsentiert. "
Quellencodierung - Multimediasignalverarbeitung,"4,9,17","Lehrergebnisse: Die Studierenden besitzen vertiefte Kenntnisse auf dem Gebiet der Datenkompression von Multimediasignalen. Sie können wissenschaftliche Fragestellungen/ Thesen in diesem Feld formulieren und systematisch Ergebnisse zur Validierung der These produzieren und veröffentlichen. Sie sind befähigt eigenständig Forschungsansätze zu verfolgen und fremde wissenschaftliche Texte zu kritisieren.
Lehrinhalte: Die wachsende Nachfrage nach einer effizienten und zuverlässigen Übertragung von Daten, Sprach-, Audio- und Bildsignalen stellt hohe Anforderungen an Nachrichtenübertragungssysteme, insbesondere wenn, beispielsweise in Netzen für mobile Kommunikation, nur beschränkte Bandbreiten zur Verfügung stehen. Die Quellencodierung leistet darin einen wesentlichen Anteil, um die zu übermittelnden Datenmengen zu reduzieren."
Digitale Nachrichtenübertragung,"4,9,17","Lehrergebnisse: Die Studierenden sind in der Lage, digitale Punkt-zu-Punkt-Verbindungen zu analysieren und selbstständig zu entwerfen. Weiterhin erwerben sie die Voraussetzungen, um eigenständig neue Verfahren der digitalen Audio- und Bildsignalverarbeitung zu verstehen und zu bewerten. Durch die Vorlesung, Übung und das Laborpraktikum werden die Grundlagen der digitalen Nachrichtenübertragung und -verarbeitung derart vertieft, dass die erworbenen Prinzipien durch die Studierenden auf Audio- oder/und Bildsignale angewendet werden können.
Lehrinhalte: In den Pflichtveranstaltungen werden die Grundlagen der binären Basisbandübertragung, binäre und höherwertige Modulation sowie die Funktionsweise bereits standardisierter digitaler Übertragungsstrecken vermittelt."
Digitale Nachrichtenübertragung - Vertiefung,"4,9,17","Lehrergebnisse: Die Studierenden sind in der Lage, moderne Verfahren der Datenkompression für Multimediasignale zu verstehen, eigenständig zu analysieren und systematisch zu entwerfen. Durch die Vertiefung der vermittelten Grundprinzipien der Quellcodierung wird die Analyse und der Entwurf von Verfahren der Multimediasignalanalyse sowie -codierung durch die Studierenden auch anhand von Fallbeispielen praktisch nachvollzogen.
Lehrinhalte: In den Veranstaltungen werden die bestehenden Kenntnisse aus dem Modul Digitale Nachrichtenübertragung“ um die Verarbeitung und Analyse von digitalen Sprach- und Bildsignalen."""
